Row.ID	Name.of.Covered.Entity	State	Covered.Entity.Type	Individuals.Affected	Breach.Submission.Date	Type.of.Breach	Business.Associate.Present	Category
1	Brooke Army Medical Center	TX	Healthcare Provider	1000	10/21/2009	Theft	FALSE	HARD
2	"Mid America Kidney Stone Association, LLC"	MO	Healthcare Provider	1000	10/28/2009	Theft	FALSE	ELEC
3	Alaska Department of Health and Social Services	AK	Healthcare Provider	501	10/30/2009	Theft	FALSE	OELE
4	"Health Services for Children with Special Needs, Inc."	DC	Health Plan	3800	11/17/2009	Loss	FALSE	ELEC
5	"L. Douglas Carlson, M.D."	CA	Healthcare Provider	5257	11/20/2009	Theft	FALSE	ELEC
6	"David I. Cohen, MD"	CA	Healthcare Provider	857	11/20/2009	Theft	FALSE	ELEC
7	"Michele Del Vicario, MD"	CA	Healthcare Provider	6145	11/20/2009	Theft	FALSE	ELEC
8	"Joseph F. Lopez, MD"	CA	Healthcare Provider	952	11/20/2009	Theft	FALSE	ELEC
9	"Mark D. Lurie, MD"	CA	Healthcare Provider	5166	11/20/2009	Theft	FALSE	ELEC
10	City of Hope National Medical Center	CA	Healthcare Provider	5900	11/23/2009	Theft	FALSE	ELEC
11	The Children's Hospital of Philadelphia	PA	Healthcare Provider	943	11/24/2009	Theft	FALSE	ELEC
12	"Cogent Healthcare, Inc."	TN	Business Associate	6400	11/25/2009	Theft	TRUE	ELEC
13	"Democracy Data & Communications, LLC ("	VA	Business Associate	83000	12/8/2009	Other	TRUE	HARD
14	Kern Medical Center	CA	Healthcare Provider	596	12/10/2009	Theft	FALSE	OTHE
15	"Rick Lawson, Professional Computer Services"	NC	Business Associate	2000	12/11/2009	Theft	TRUE	ELEC
16	Detroit Department of Health and Wellness Promotion	MI	Healthcare Provider	10000	12/15/2009	Theft	FALSE	OELE
17	Detroit Department of Health and Wellness Promotion	MI	Healthcare Provider	646	12/15/2009	Theft	FALSE	MAG
18	"University of California, San Francisco"	CA	Healthcare Provider	610	12/15/2009	Other	FALSE	EM
19	Daniel J. Sigman MD PC	MA	Business Associate	1860	1/7/2010	Theft	TRUE	OELE
20	Massachusetts Eye and Ear Infirmary	MA	Healthcare Provider	1076	1/8/2010	Theft	FALSE	OTHE
21	Service Benefits Plan Administrative Services Corp	DC	Business Associate	3400	1/8/2010	Theft	TRUE	HARD
22	Merkle Direct Marketing	MD	Business Associate	15000	1/11/2010	Theft	TRUE	HARD
23	Kaiser Permanente Medical Care Program	CA	Healthcare Provider	15500	1/12/2010	Theft	FALSE	OELE
24	United Micro Data	ID	Business Associate	2562	1/14/2010	Theft	TRUE	OTHE
25	"Goodwill Industries of Greater Grand Rapids, Inc."	MI	Healthcare Provider	10000	1/15/2010	Theft	FALSE	OTHE
26	Children's Medical Center of Dallas	TX	Healthcare Provider	3800	1/18/2010	Loss	FALSE	OELE
27	Concentra	TX	Healthcare Provider	900	1/19/2010	Theft	FALSE	ELEC
28	Ashley and Gray DDS	MO	Healthcare Provider	9309	1/19/2010	Theft	FALSE	ELEC
29	Advocate Health Care	IL	Healthcare Provider	812	1/22/2010	Theft	FALSE	ELEC
30	The Methodist Hospital	TX	Healthcare Provider	689	1/25/2010	Theft	FALSE	OTHE
31	"University of California, San Francisco"	CA	Healthcare Provider	7300	1/27/2010	Theft	FALSE	ELEC
32	Carle Clinic Association	IL	Healthcare Provider	1300	1/28/2010	Theft	FALSE	HARD
33	Health Behavior Innovations (HBI)	UT	Business Associate	5700	2/5/2010	Theft	TRUE	OTHE
34	Center for Neurosciences	AZ	Healthcare Provider	1100	2/10/2010	Theft	FALSE	ELEC
35	Blue Cross Blue Shield of RI	RI	Business Associate	528	2/16/2010	Other	TRUE	HARD
36	"MSO of Puerto Rico, Inc. "	PR	Business Associate	1907	2/17/2010	Theft	TRUE	HARD
37	MSO of Puerto Rico	PR	Business Associate	605	2/17/2010	Theft	TRUE	HARD
38	Cardiology Consultants/Baptist Health Care Corporation	FL	Healthcare Provider	8000	2/18/2010	Theft	FALSE	ELEC
39	"State of TN, Bureau of TennCare"	TN	Health Plan	3900	2/19/2010	Theft	FALSE	HARD
40	Lucille Packard Children's Hospital	CA	Healthcare Provider	532	2/21/2010	Other	FALSE	ELEC
41	University of New Mexico Health Sciences Center	NM	Healthcare Provider	1900	2/23/2010	Other	FALSE	ELEC
42	Advanced NeuroSpinal Care	CA	Healthcare Provider	3500	2/23/2010	Theft	FALSE	ELEC
43	"Central Brooklyn Medical Group, PC"	NY	Healthcare Provider	500	2/25/2010	Theft	FALSE	HARD
44	Shands at UF	FL	Healthcare Provider	12580	3/1/2010	Theft	FALSE	ELEC
45	Wyoming Department of Health	WY	Health Plan	9023	3/2/2010	Unauthorized Access/Disclosure	FALSE	ELEC
46	Thrivent Financial for Lutherans	WI	Health Plan	9500	3/3/2010	Theft	FALSE	ELEC
47	North Carolina Baptist Hospital	NC	Healthcare Provider	554	3/3/2010	Theft	FALSE	HARD
48	Montefiore Medical Center	NY	Healthcare Provider	625	3/9/2010	Theft	FALSE	ELEC
49	"Ernest T. Bice, Jr. DDS, P.A."	TX	Healthcare Provider	21000	3/10/2010	Theft	FALSE	OELE
50	Lee Memorial Health System	FL	Healthcare Provider	3800	3/17/2010	Other	FALSE	HARD
51	"Laboratory Corporation of America/Dynacare Northwest, Inc."	WA	Healthcare Provider	5080	3/18/2010	Theft	FALSE	ELEC
52	Mount Sinai Medical Center	FL	Healthcare Provider	2600	3/23/2010	Theft	FALSE	ELEC
53	Griffin Hospital	CT	Healthcare Provider	957	3/26/2010	Hacking/IT Incident	FALSE	ELEC
54	"Hypertension, Nephrology, Dialysis and Transplantation, PC"	AL	Healthcare Provider	2465	3/27/2010	Theft	FALSE	ELEC
55	"Computer Program and Systems, Inc. (CPSI)"	AL	Business Associate	768	3/30/2010	Unauthorized Access/Disclosure 	TRUE	EM
56	"Laboratory Corporation of America / US LABS / Dianon Systems, Inc"	AZ	Healthcare Provider	2773	4/1/2010	Theft	FALSE	OELE
57	University of Pittsburgh Student Health Center	PA	Healthcare Provider	8000	4/2/2010	"Loss, Theft"	FALSE	HARD
58	Providence Hospital	MI	Healthcare Provider	83945	4/5/2010	Other	FALSE	OTHE
59	VHS Genesis Lab Inc. 	IL	Healthcare Provider	6800	4/5/2010	Loss	FALSE	HARD
60	"McKesson Information Solutions, LLC"	GA	Business Associate	660	4/9/2010	Other	TRUE	HARD
61	Pediatric Sports and Spine Associates	TX	Healthcare Provider	955	4/9/2010	Theft	FALSE	ELEC
62	"Affinity Health Plan, Inc."	NY	Health Plan	344579	4/14/2010	Theft	FALSE	OTHE
63	Tomah Memorial Hospital	WI	Healthcare Provider	600	4/16/2010	Other	FALSE	OTHE
64	"Praxair Healthcare Services, Inc. (Home Care Supply in NY)"	CT	Healthcare Provider	54165	4/19/2010	Theft	FALSE	ELEC
65	Massachusetts Eye and Ear Infirmary	MA	Healthcare Provider	3594	4/20/2010	Theft	FALSE	ELEC
66	Blue Cross & Blue Shield of Rhode Island	RI	Health Plan	12000	4/21/2010	Theft	FALSE	HARD
67	South Carolina Department of Health and Environmental Control	SC	Health Plan	2850	4/22/2010	Improper Disposal	FALSE	HARD
68	St. Joseph Heritage Healthcare	CA	Healthcare Provider	22012	4/23/2010	Theft	FALSE	ELEC
69	John Muir Physician Network	CA	Healthcare Provider	5450	4/24/2010	Theft	FALSE	ELEC
70	Medical Center At Bowling Green	KY	Healthcare Provider	5148	4/26/2010	Theft	FALSE	OELE
71	TOWERS WATSON	VA	Business Associate	1874	4/27/2010	Theft	TRUE	OTHE
72	UnitedHealth Group health plan single affiliated covered entity	MN	Health Plan	735	4/27/2010	Theft	FALSE	HARD
73	South Texas Veterans Health Care System	TX	Healthcare Provider	1430	4/28/2010	"Improper Disposal, Loss"	FALSE	HARD
74	Rockbridge Area Community Services	VA	Healthcare Provider	500	4/29/2010	Theft	FALSE	MAG
75	"Millennium Medical Management Resources, Inc."	IL	Business Associate	180111	4/29/2010	Theft	TRUE	OELE
76	VA Eastern Colorado Health Care System	CO	Healthcare Provider	649	5/5/2010	Theft	FALSE	HARD
77	Miami VA Healthcare System	FL	Healthcare Provider	568	5/5/2010	Theft	FALSE	HARD
